# circle in zeta-plane case 5
# xi0 = -0.2, eta0 = 0, r = 1.2
# xi   eta   xi/a   eta/a
0.080134 -1.166844 0.080134 -1.166844
0.090306 -1.164355 0.090306 -1.164355
0.100456 -1.161777 0.100456 -1.161777
0.110583 -1.159111 0.110583 -1.159111
0.120686 -1.156357 0.120686 -1.156357
0.130765 -1.153514 0.130765 -1.153514
0.140818 -1.150584 0.140818 -1.150584
0.150846 -1.147566 0.150846 -1.147566
0.160847 -1.144460 0.160847 -1.144460
0.170820 -1.141268 0.170820 -1.141268
0.180766 -1.137988 0.180766 -1.137988
0.190682 -1.134622 0.190682 -1.134622
0.200568 -1.131170 0.200568 -1.131170
0.210424 -1.127631 0.210424 -1.127631
0.220249 -1.124007 0.220249 -1.124007
0.230042 -1.120297 0.230042 -1.120297
0.239801 -1.116501 0.239801 -1.116501
0.249528 -1.112621 0.249528 -1.112621
0.259220 -1.108655 0.259220 -1.108655
0.268877 -1.104606 0.268877 -1.104606
0.278499 -1.100472 0.278499 -1.100472
0.288084 -1.096255 0.288084 -1.096255
0.297632 -1.091954 0.297632 -1.091954
0.307142 -1.087569 0.307142 -1.087569
0.316613 -1.083102 0.316613 -1.083102
0.326045 -1.078553 0.326045 -1.078553
0.335437 -1.073921 0.335437 -1.073921
0.344789 -1.069208 0.344789 -1.069208
0.354098 -1.064413 0.354098 -1.064413
0.363366 -1.059537 0.363366 -1.059537
0.372591 -1.054581 0.372591 -1.054581
0.381772 -1.049544 0.381772 -1.049544
0.390908 -1.044427 0.390908 -1.044427
0.400000 -1.039230 0.400000 -1.039230
0.409046 -1.033955 0.409046 -1.033955
0.418046 -1.028601 0.418046 -1.028601
0.426998 -1.023168 0.426998 -1.023168
0.435903 -1.017658 0.435903 -1.017658
0.444760 -1.012070 0.444760 -1.012070
0.453567 -1.006405 0.453567 -1.006405
0.462324 -1.000663 0.462324 -1.000663
0.471031 -0.994845 0.471031 -0.994845
0.479687 -0.988951 0.479687 -0.988951
