# type = 2
# x0 = 0.1, y0 = 0, z0 = 0
# projection: horizontal = z, vertical = x
# z   x
-0.993567 1.786412
-0.996716 1.785921
-0.999856 1.785429
-1.002988 1.784935
-1.006110 1.784440
-1.009224 1.783942
-1.012328 1.783444
-1.015424 1.782944
-1.018511 1.782442
-1.021589 1.781939
-1.024657 1.781434
-1.027717 1.780928
-1.030768 1.780420
-1.033810 1.779911
-1.036843 1.779400
-1.039866 1.778888
-1.042881 1.778374
-1.045886 1.777859
-1.048883 1.777342
-1.051870 1.776824
-1.054848 1.776304
-1.057817 1.775782
-1.060777 1.775259
-1.063727 1.774735
-1.066669 1.774209
-1.069601 1.773682
-1.072524 1.773153
-1.075437 1.772623
-1.078341 1.772091
-1.081236 1.771557
-1.084122 1.771023
-1.086998 1.770486
-1.089865 1.769949
-1.092723 1.769409
-1.095571 1.768869
-1.098410 1.768326
-1.101239 1.767783
-1.104059 1.767238
-1.106870 1.766691
-1.109671 1.766143
-1.112463 1.765593
-1.115245 1.765042
-1.118017 1.764490
-1.120780 1.763936
-1.123534 1.763381
-1.126278 1.762824
-1.129012 1.762266
-1.131737 1.761706
-1.134452 1.761145
-1.137158 1.760583
-1.139854 1.760019
-1.142540 1.759453
-1.145217 1.758886
-1.147883 1.758318
-1.150541 1.757748
-1.153188 1.757177
-1.155826 1.756605
-1.158454 1.756031
-1.161072 1.755456
-1.163681 1.754879
-1.166279 1.754301
-1.168868 1.753721
-1.171447 1.753140
-1.174017 1.752558
-1.176576 1.751974
-1.179125 1.751389
-1.181665 1.750802
-1.184195 1.750214
-1.186715 1.749625
-1.189225 1.749034
-1.191724 1.748442
