# circle in zeta-plane case 4
# xi0 = -0.1, eta0 = 0, r = 1.1
# xi   eta   xi/a   eta/a
0.390818 -0.984428 0.390818 -0.984428
0.399390 -0.980107 0.399390 -0.980107
0.407923 -0.975712 0.407923 -0.975712
0.416419 -0.971242 0.416419 -0.971242
0.424875 -0.966699 0.424875 -0.966699
0.433291 -0.962082 0.433291 -0.962082
0.441666 -0.957391 0.441666 -0.957391
0.450000 -0.952628 0.450000 -0.952628
0.458292 -0.947792 0.458292 -0.947792
0.466542 -0.942884 0.466542 -0.942884
0.474748 -0.937904 0.474748 -0.937904
0.482911 -0.932853 0.482911 -0.932853
0.491030 -0.927731 0.491030 -0.927731
0.499103 -0.922538 0.499103 -0.922538
0.507131 -0.917274 0.507131 -0.917274
0.515112 -0.911941 0.515112 -0.911941
0.523047 -0.906539 0.523047 -0.906539
0.530934 -0.901067 0.530934 -0.901067
0.538773 -0.895527 0.538773 -0.895527
0.546564 -0.889919 0.546564 -0.889919
0.554305 -0.884243 0.554305 -0.884243
0.561997 -0.878499 0.561997 -0.878499
0.569638 -0.872689 0.569638 -0.872689
0.577228 -0.866812 0.577228 -0.866812
0.584766 -0.860869 0.584766 -0.860869
