# circle in zeta-plane case 9
# xi0 = -0.1, eta0 = 0.3, r = 1.14018
# xi   eta   xi/a   eta/a
0.363751 -0.741602 0.363751 -0.741602
0.372823 -0.737515 0.372823 -0.737515
0.381859 -0.733350 0.381859 -0.733350
0.390858 -0.729106 0.390858 -0.729106
0.399820 -0.724783 0.399820 -0.724783
0.408744 -0.720382 0.408744 -0.720382
0.417629 -0.715904 0.417629 -0.715904
0.426474 -0.711348 0.426474 -0.711348
0.435280 -0.706715 0.435280 -0.706715
0.444045 -0.702006 0.444045 -0.702006
0.452768 -0.697220 0.452768 -0.697220
0.461449 -0.692358 0.461449 -0.692358
0.470088 -0.687421 0.470088 -0.687421
0.478683 -0.682408 0.478683 -0.682408
0.487234 -0.677321 0.487234 -0.677321
0.495740 -0.672159 0.495740 -0.672159
0.504201 -0.666924 0.504201 -0.666924
0.512616 -0.661614 0.512616 -0.661614
0.520984 -0.656232 0.520984 -0.656232
0.529305 -0.650776 0.529305 -0.650776
0.537578 -0.645248 0.537578 -0.645248
0.545802 -0.639648 0.545802 -0.639648
0.553978 -0.633977 0.553978 -0.633977
0.562103 -0.628235 0.562103 -0.628235
0.570178 -0.622421 0.570178 -0.622421
0.578202 -0.616538 0.578202 -0.616538
0.586175 -0.610585 0.586175 -0.610585
0.594095 -0.604562 0.594095 -0.604562
0.601962 -0.598470 0.601962 -0.598470
0.609776 -0.592311 0.609776 -0.592311
0.617536 -0.586083 0.617536 -0.586083
0.625241 -0.579787 0.625241 -0.579787
